#portuguese words
a
acerca
ainda
ai
alem
algo
algum
algumas
alguns
amanha
ante
antes
ao
aos
apenas
apos
aqui
aquele
aqueles
aquela
aquelas
aquilo
as
assim
ate
atraves
cada
com
como
comum
contra
contudo
da
das
de
dela
dele
dentro
depois
desde
dia
diante
do
dos
e
ela
ele
em
enquanto
entre
entretanto
es
esta
eu
faz
fazer
grande
ha
hoje
isso
la
lhe
lhes
lo
mais
maos
mas
melhor
mesmo
mesmos
modo
muita
muitas
muito
muitos
na
nao
nas
nem
no
nos
nossa
nossas
nosso
nossos
nova
novas
novo
novos
ninguem
nunca
o
onde
os
ou
outros
palavras
para
parte
passo
passos
pela
pelas
pelo
pelos
pode
pois
por
porem
porque
portanto
posicao
pouca
poucas
pouco
poucos
primeira
primeiro
propria
proprio
proxima
proximo
quais
qual
qualquer
quando
quanta
quantas
quanto
quantos
que
quem
sao
se
segunda
segundo
seja
sem
sempre
ser
sera
sereis
seres
servico
seu
seus
si
sim
so
sob
sobre
somente
somos
sua
suas
tambem
tao
te
tem
teu
teus
ti
toda
todas
todavia
todo
todos
tua
tuas
tudo
um
uma
vez
vezes
vos
#english words
an
and
for
if
in
on
or
to
what
when
where
